trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,0,-6.632819688041919,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.7518057291408949}",20,0,-86.219252918819,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,0,-79.98695878388602,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,7,-86.8507983004799,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,10,-41.520815997994184,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",30,0,-35.146872710880324,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-29.90570594124803,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",25,2,-38.98572807992246,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.7038453156522361}",20,11,-11.764107106472377,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471654}",30,14,-8.405789212536202,"{0: 13, 1: 2, 2: 0, 3: 1, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.689498432951747}",25,0,-45.81208538011521,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876135}",20,0,-74.86119375968693,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.674875760071267}",25,0,12.115814098666945,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6674628258413081}",20,0,-141.380188825879,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",25,2,11.525028760275275,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",25,0,-54.17883797880762,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,12,-22.668686056748548,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,11,-10.56135715224064,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,0,-72.67484354996085,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",25,0,-131.954841693236,"{0: 12, 1: 1, 2: 10, 3: 2, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,-148.10502036643405,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",25,0,-12.549101284008376,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,12,-33.60212075440963,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",20,5,-71.44053888238912,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,3,-10.92672409602651,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,0,-170.64368630859775,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,2,-41.40039357975005,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,5,-88.25482697926381,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 2}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",25,16,2.9856393532449546,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681397}",20,0,-39.03733338452167,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",35,22,-28.471081483015542,"{0: 8, 1: 3, 2: 1, 3: 1, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",20,0,-60.040483127922045,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,0,-76.613943143153,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",30,14,-19.6915310770325,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,5,-34.961511950476535,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",20,8,-21.12104887240894,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,3.034503851874887,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",30,0,-7.105222756382967,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,9,18.60143189707504,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",30,0,-8.220731274114247,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",30,8,10.364081413902092,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",20,0,15.500579389135684,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,11,-12.039569148493978,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,14,2.6154307179208987,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,14,1.760203314746545,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
